QUERY,GROUND_TRUTH_RESPONSE
What type of study is the RECOVERY trial?,The RECOVERY trial is a randomised platform trial among patients hospitalised for pneumonia caused by influenza and other pathogens.
What conditions are covered by protocol version 28.0?,"Protocol version 28.0 includes treatment comparisons for influenza and community-acquired pneumonia, and no COVID-19 comparisons are currently open."
Why is the RECOVERY trial described as dynamic?,"The trial is dynamic because treatments can be added or removed as results become available, suitable treatments emerge, or new infectious respiratory threats arise."
What treatment comparisons are available for patients with influenza?,"The influenza comparisons include baloxavir marboxil versus usual care without baloxavir, oseltamivir versus usual care without a neuraminidase inhibitor, and corticosteroids versus usual care without corticosteroids for eligible patients."
What treatment comparison is available for community-acquired pneumonia?,Eligible community-acquired pneumonia patients may be randomised to corticosteroids or usual care without corticosteroids.
What is a partial factorial design in the RECOVERY trial?,"A partial factorial design allows eligible participants to enter one or more treatment comparisons at the same time, so treatments can be assessed alone and in combination."
Who monitors interim RECOVERY trial results?,Interim trial results are monitored by an independent Data Monitoring Committee.
What are the main outcomes listed in the protocol summary?,"The main outcomes are death, discharge, need for ventilation, and need for renal replacement therapy."
At what point are the main analyses censored?,"For the main analyses, follow-up is censored at 28 days after randomisation."
Why are RECOVERY trial procedures streamlined?,"The procedures are streamlined to minimise the burden on hospital staff, including in hospitals that become overloaded during major respiratory epidemics."
What information is collected at randomisation according to the protocol summary?,"Information collected includes patient and clinician identity, age, sex, major co-morbidity, pregnancy, illness onset date and severity, and contraindications to study treatments."
What suspected drug reactions are collected by the trial?,"Suspected Serious Adverse Reactions to study medications are collected, and unexpected suspected serious adverse reactions are reported in an expedited fashion."
Can a fixed sample size be stated for the RECOVERY trial?,No. The protocol states that realistic sample sizes depend on the epidemiology of the relevant infections and could not be reliably estimated at the start of the trial.
What is the main focus of RECOVERY when assessing candidate treatments?,The main focus is the effect of candidate treatments on mortality and on the need for hospitalisation or ventilation.
Why is assessment at 28 days expected to capture most outcomes?,"For influenza and community-acquired pneumonia, average hospital stay is around 7 to 9 days and most mortality occurs within 28 days of admission."
What four general eligibility requirements must a patient meet?,"The patient must be hospitalised, have a pneumonia syndrome, have confirmed influenza A or B or eligible community-acquired pneumonia, and have no medical history that the attending clinician believes would create significant risk from participation."
How is pneumonia syndrome generally identified in the protocol?,"It is generally suspected from symptoms of a new respiratory infection, objective evidence of acute lung disease, and consideration or exclusion of alternative causes such as heart failure, although the final diagnosis is clinical."
Can patients with influenza and SARS-CoV-2 co-infection enter the trial?,"Yes. Patients with confirmed influenza A or B and SARS-CoV-2 co-infection are eligible, although they may be excluded from specific treatment comparisons."
Why are active pulmonary tuberculosis and Pneumocystis jirovecii pneumonia excluded from the community-acquired pneumonia comparison?,They are excluded because they are caused by specific organisms with distinct pathologies and are not usually categorised as community-acquired pneumonia.
Can a previously enrolled patient join RECOVERY again?,"Yes. A patient may be recruited again if the previous randomisation was more than six months earlier, but the patient cannot enter the same randomised comparison more than once."
How is consent handled for an adult who lacks capacity?,"Consent must be provided by a legal representative. Where permitted and no relative is available, an independent clinician may act as the legally designated representative."
What consent is required for children younger than 16 years?,"Consent is sought from a parent or legal guardian, and where possible children aged 10 to 15 years are also asked for assent."
What baseline disease-severity information is recorded?,"Baseline disease severity includes need for supplemental oxygen, non-invasive ventilation, invasive mechanical ventilation or ECMO, oxygen saturation, oxygen delivery details, respiratory rate, blood pressure, and confusion status."
Do participants with community-acquired pneumonia require baseline sample collection?,No. Participants with community-acquired pneumonia do not require any baseline samples to be collected.
What is the adult baloxavir treatment schedule shown on page 10?,"Baloxavir marboxil is given as 40 mg, or 80 mg for patients weighing at least 80 kg, on day 1 and day 4 by mouth or nasogastric tube."
What is the adult oseltamivir treatment schedule shown on page 10?,"Oseltamivir is given as 75 mg twice daily by mouth or nasogastric tube for five days, with possible extension to ten days for immunosuppressed patients at the clinician's discretion."
What is the role of the RECOVERY Data Monitoring Committee?,"The independent Data Monitoring Committee provides an overview of participant safety and recommends whether the trial should continue, stop, or be modified."
To which committee does the Data Monitoring Committee provide advice?,The Data Monitoring Committee acts in an advisory capacity to the Trial Steering Committee.
Is the Data Monitoring Committee independent of the investigators and funder?,"Yes. It functions independently of the investigators, Steering Committee, funder, and other bodies associated with the trial."
Who provides the unblinded report to the Data Monitoring Committee?,"The DMC statistician, Jonathan Emberson, is responsible for providing the unblinded report and drafting meeting minutes."
Can external experts advise the Data Monitoring Committee?,Yes. Ad hoc experts may be invited by the DMC Chair to provide confidential advice on specific aspects of the unblinded data.
What financial conflict is specifically restricted for DMC members and advisers?,They should not have a financial investment in manufacturers of study treatments that could raise questions about their independence.
How often does the Data Monitoring Committee review trial information?,"It requests interim analyses at a frequency appropriate to the emerging data, and additional meetings can be called at any time."
When may the Data Monitoring Committee recommend changes to the protocol?,"It may recommend changes when evidence on mortality is strong and precise enough to affect national or global treatment strategies, or when other safety or efficacy information supports a change."
How are Data Monitoring Committee decisions made?,"Decisions are normally made by consensus; if consensus is not possible, a simple majority of voting members present is required."
Do DMC statisticians and ad hoc advisers vote?,No. DMC statisticians and ad hoc advisers are non-voting.
What happens during the closed session of a DMC meeting?,"The chair reviews conflicts of interest, the statistician presents unblinded data, and the committee formulates its recommendations."
How soon is the general outcome of a DMC meeting communicated?,"Within one week after each meeting, the DMC Chair sends the Chief Investigator a letter stating the general outcome and any recommendations."
What is the purpose of the RECOVERY study according to the participant information form?,The study compares several treatments that may help patients with influenza or bacterial pneumonia recover more effectively than usual care alone.
Which treatments for influenza are described in the participant information form?,"The form describes oseltamivir, baloxavir, and low-dose dexamethasone as possible additional treatments for influenza."
Which additional treatment is described for bacterial pneumonia?,Low-dose dexamethasone is described as the additional study treatment for bacterial pneumonia.
Who sponsors the RECOVERY study?,The University of Oxford sponsors the RECOVERY study.
Who may be included in the South African participant information form?,"Hospitalised adults aged 18 years or older with confirmed or clinically suspected influenza or bacterial pneumonia may be included, unless the attending doctor believes the study medications are unsuitable."
How is treatment allocated to a participant?,"A computer allocates treatment at random, described as being like rolling a dice, and neither the participant nor the doctors choose the allocation."
Are extra visits required after hospital discharge?,"No extra study visits are required after leaving hospital, although confidential information may be obtained from national databases for longer-term follow-up."
For how long may longer-term information be collected?,Longer-term information may be collected for up to 10 years after the end of the participant's involvement.
Is personal benefit from the study treatment guaranteed?,"No. The treatment may or may not help the participant personally, but the study is intended to help future patients."
What side effects are listed for dexamethasone?,"Dexamethasone may increase the risk of other infections for a short period, disturb sleep, and raise blood sugar."
What side effects are listed for oseltamivir and baloxavir?,"They may cause nausea, vomiting, and diarrhoea, and oseltamivir can rarely cause allergic reactions."
Can a participant stop study treatment or withdraw?,"Yes. The participant or doctor may stop treatment early, and the participant may request that no further information be collected, although previously collected de-identified data may still be analysed."
Is participation in the study voluntary?,"Yes. Participation is voluntary, and the decision whether to join does not affect the care received at the hospital."
Are trial-related treatments free?,Yes. All trial-related treatments are provided free of charge.
What compensation is described in the South African form?,"The form states that participants are not paid to participate, but may receive R400 for an in-person clinic visit and R150 after completing telephone follow-up."
Who may inspect participant information for oversight purposes?,"Researchers, coordinating-centre staff, the sponsor's authorised representatives, ethics bodies, SAHPRA, the FDA, and the participant's personal doctor may inspect information as permitted for study oversight."
What does signing the consent form confirm?,"It confirms that the participant has been informed about the study, understands the written information, agrees to data processing, knows participation is voluntary, and has had an opportunity to ask questions."
What reporting period generally applies to the RECOVERY follow-up form?,"The form generally records events from the first randomisation until 28 days later, except where a question states otherwise."
What vital-status options are recorded on the follow-up form?,The patient's vital status is recorded as alive or dead.
What hospitalisation-status options are recorded?,The form records whether the patient is still an inpatient or has been discharged.
Which underlying causes of death can be selected?,"The options include COVID-19, influenza, community-acquired pneumonia, another infection, cardiovascular causes, and other causes."
Should standard-care treatments be recorded as well as RECOVERY-allocated treatments?,Yes. The form instructs users to record the RECOVERY-allocated drug if actually given and relevant treatments received as standard hospital care.
Which influenza treatments are specifically listed on the follow-up form?,"The form lists oseltamivir, other neuraminidase inhibitors, baloxavir, favipiravir, and none of these."
What influenza tests are recorded during follow-up?,"The form records influenza antigen testing and influenza PCR testing, including positive, negative, or not-done results."
Which influenza subtypes can be recorded?,"The options include influenza A unspecified, influenza A H1N1, influenza A H3N2, influenza B, other including avian influenza, and not known."
What forms of assisted ventilation are captured?,"The form captures CPAP, non-invasive ventilation such as BiPAP, high-flow nasal oxygen, invasive mechanical ventilation, and ECMO."
Which new cardiac arrhythmias are listed?,"The form lists atrial flutter or fibrillation, supraventricular tachycardia, ventricular tachycardia, ventricular fibrillation, and atrioventricular block requiring intervention."
What renal information is captured after randomisation?,"The form records whether renal dialysis or haemofiltration was required and the highest creatinine level, its unit, and date."
Which thrombotic events can be selected?,"The listed events include pulmonary embolism, deep-vein thrombosis, ischaemic stroke, myocardial infarction, systemic arterial embolism, and other."
What qualifies as clinically significant bleeding on the follow-up form?,"It includes intracranial bleeding or bleeding requiring intervention such as surgery, endoscopy, vasoactive drugs, or a blood transfusion."
Which types of new infection can be recorded?,"The form includes hospital-acquired pneumonia, urinary tract, biliary, other intra-abdominal, bloodstream, skin, and other infections."
What metabolic complications are specifically checked?,"The form checks for ketoacidosis, hyperglycaemic hyperosmolar state, other hyperglycaemia requiring new insulin, and severe hypoglycaemia."
What other treatment trials are explicitly listed?,"The form explicitly lists ASPECT and REMAP-CAP, with an option to record another trial."
What follow-up consent question is asked when initial consent came from a legal representative?,The form asks whether consent was also obtained directly from the patient before discharge.
